column,dtype,missing_count,missing_percent,unique_count,duplicate_row_count_dataset,is_clinical_range_checked,invalid_count,invalid_percent,clinical_min_allowed,clinical_max_allowed,clinical_unit,outlier_count_iqr,outlier_percent_iqr,repeated_id_count_dataset,rows_with_repeated_ids_dataset
ID,int64,0,0.0,112,54,False,0,0.0,,,,0,0.0,108,5902
SBP,int64,0,0.0,150,54,True,8,0.14,50.0,260.0,mmHg,70,1.19,108,5902
DBP,int64,0,0.0,111,54,True,21,0.36,30.0,160.0,mmHg,79,1.34,108,5902
HR,int64,0,0.0,123,54,True,14,0.24,20.0,250.0,beats/min,52,0.88,108,5902
RR,int64,0,0.0,59,54,True,15,0.25,5.0,60.0,breaths/min,333,5.64,108,5902
BT,int64,0,0.0,5,54,True,0,0.0,86.0,113.0,°F,1351,22.88,108,5902
SpO2,int64,0,0.0,32,54,True,0,0.0,0.0,100.0,%,1015,17.19,108,5902
Age,int64,0,0.0,44,54,True,0,0.0,0.0,120.0,years,106,1.79,108,5902
Gender,int64,0,0.0,2,54,False,0,0.0,,,,0,0.0,108,5902
GCS,int64,0,0.0,13,54,True,48,0.81,3.0,15.0,score,49,0.83,108,5902
Na,float64,3244,54.93,22,54,True,0,0.0,110.0,180.0,mmol/L,71,1.2,108,5902
K,float64,3244,54.93,7,54,True,0,0.0,1.5,9.0,mmol/L,60,1.02,108,5902
Cl,float64,3248,54.99,25,54,True,0,0.0,70.0,140.0,mmol/L,219,3.71,108,5902
Urea,float64,3320,56.21,40,54,True,1,0.02,0.0,250.0,mg/dL or local lab unit,294,4.98,108,5902
Ceratinine,float64,3261,55.22,63,54,True,0,0.0,0.0,1500.0,µmol/L or local lab unit,862,14.6,108,5902
Alcoholic,float64,1751,29.65,3,54,False,0,0.0,,,,0,0.0,108,5902
Smoke,float64,1752,29.66,3,54,False,0,0.0,,,,0,0.0,108,5902
FHCD,float64,1621,27.45,3,54,False,0,0.0,,,,0,0.0,108,5902
TriageScore,float64,1903,32.22,4,54,True,0,0.0,1.0,5.0,score,0,0.0,108,5902
Outcome,int64,0,0.0,2,54,False,0,0.0,,,,0,0.0,108,5902
