threshold,sensitivity,specificity,ppv,npv,f1,flagged_high_risk,flagged_high_risk_pct,true_negative,false_positive,false_negative,true_positive,recommended
0.05,1.0,0.0,0.8732758620689656,,0.93235158766682,1160,1.0,0,147,0,1013,False
0.1,1.0,0.0,0.8732758620689656,,0.93235158766682,1160,1.0,0,147,0,1013,False
0.15,1.0,0.0,0.8732758620689656,,0.93235158766682,1160,1.0,0,147,0,1013,False
0.2,1.0,0.0,0.8732758620689656,,0.93235158766682,1160,1.0,0,147,0,1013,False
0.25,1.0,0.047619047619047616,0.8785776235906332,1.0,0.9353647276084949,1153,0.9939655172413793,7,140,0,1013,False
0.3,1.0,0.047619047619047616,0.8785776235906332,1.0,0.9353647276084949,1153,0.9939655172413793,7,140,0,1013,False
0.35,1.0,0.07482993197278912,0.8816362053959965,1.0,0.937095282146161,1149,0.9905172413793103,11,136,0,1013,False
0.4,1.0,0.08843537414965986,0.8831734960767219,1.0,0.937962962962963,1147,0.9887931034482759,13,134,0,1013,False
0.45,1.0,0.10884353741496598,0.8854895104895105,1.0,0.9392675011590171,1144,0.9862068965517241,16,131,0,1013,False
0.5,0.9970384995064165,0.1292517006802721,0.8875219683655536,0.8636363636363636,0.9390980939098094,1138,0.9810344827586207,19,128,3,1010,False
0.55,0.9911154985192497,0.14285714285714285,0.8884955752212389,0.7,0.9370041997200187,1130,0.9741379310344828,21,126,9,1004,False
0.6,0.9891411648568608,0.17006802721088435,0.891459074733096,0.6944444444444444,0.9377632194665418,1124,0.9689655172413794,25,122,11,1002,False
0.65,0.9861796643632774,0.23809523809523808,0.8991899189918992,0.7142857142857143,0.940677966101695,1111,0.9577586206896552,35,112,14,999,False
0.7,0.9536031589338598,0.3333333333333333,0.9078947368421053,0.5104166666666666,0.9301877708233028,1064,0.9172413793103448,49,98,47,966,False
0.75,0.9062191510365252,0.47619047619047616,0.9226130653266331,0.42424242424242425,0.9143426294820717,995,0.8577586206896551,70,77,95,918,True
0.8,0.8687068114511353,0.6122448979591837,0.9391675560298826,0.40358744394618834,0.9025641025641026,937,0.8077586206896552,90,57,133,880,False
0.85,0.8292201382033564,0.8503401360544217,0.974477958236659,0.41946308724832215,0.896,862,0.743103448275862,125,22,173,840,False
0.9,0.7482724580454096,0.9183673469387755,0.9844155844155844,0.34615384615384615,0.8502523836231072,770,0.6637931034482759,135,12,255,758,False
0.95,0.47482724580454094,0.9591836734693877,0.9876796714579056,0.20950965824665677,0.6413333333333333,487,0.41982758620689653,141,6,532,481,False
